Rank,Order,Family,Species,Common names,GE Score,ED Score,EDGE Score,Conservation Attention,Region,Countries,Relevant Global Programme,IUCN Red List link
79,Rodentia,Muridae,Leporillus apicalis,"Lesser Stick-nest Rat, White-tipped Stick-nest Rat",CR,10.02143241,5.1724305,None,Australasia,Australasia,,http://www.iucnredlist.org/apps/redlist/details/11633/0
80,Rodentia,Nesomyidae,Hypogeomys antimena,"Malagasy Giant Jumping Rat, Malagasy Giant Rat",EN,20.86613092,5.164380448,Active,Africa,Madagascar,,http://www.iucnredlist.org/apps/redlist/details/10714/0
81,Rodentia,Cricetidae,Tylomys bullaris,Chiapan Climbing Rat,CR,9.894517263,5.160848382,None,Americas,Mexico,,http://www.iucnredlist.org/apps/redlist/details/22570/0
82,Primates,Pitheciidae,Callicebus barbarabrownae,"Blond Titi Monkey, Barbara Brown's Titi, Northern Bahian Blond Titi, Northern Bahian Blond Titi Monkey",CR,9.869378529,5.158538249,None,Americas,Brazil,,http://www.iucnredlist.org/apps/redlist/details/39929/0
83,Soricomorpha,Soricidae,Sorex sclateri,Sclater's Shrew,CR,9.853968549,5.1571195,None,Americas,Mexico,,http://www.iucnredlist.org/apps/redlist/details/20394/0
84,Soricomorpha,Soricidae,Sorex stizodon,San Cristobal Shrew,CR,9.853968549,5.1571195,None,Americas,Mexico,,http://www.iucnredlist.org/apps/redlist/details/20395/0
85,Rodentia,Cricetidae,Tylomys tumbalensis,"Tumbalá Climbing Rat, Tumbala Climbing Rat",CR,9.789790788,5.151189112,None,Americas,Mexico,,http://www.iucnredlist.org/apps/redlist/details/22575/0
86,Diprotodontia,Potoroidae,Bettongia penicillata,"Woylie, Brush-tailed Bettong, Brush-tailed Rat Kangaroo",CR,9.741552342,5.146708339,Active,Australasia,Australia,,http://www.iucnredlist.org/apps/redlist/details/2785/0
87,Soricomorpha,Soricidae,Cryptotis nelsoni,Nelson's Small Eared Shrew,CR,9.73005188,5.145637114,None,Americas,Mexico,,http://www.iucnredlist.org/apps/redlist/details/136389/0
88,Rodentia,Capromyidae,Mesocapromys sanfelipensis,"Little Earth Hutia, San Felipe Hutia",CR,9.715985838,5.144325352,None,Americas,Cuba,,http://www.iucnredlist.org/apps/redlist/details/13218/0
89,Rodentia,Capromyidae,Mesocapromys nanus,Dwarf Hutia,CR,9.707420414,5.14352572,Active,Americas,Cuba,,http://www.iucnredlist.org/apps/redlist/details/13217/0
90,Cetartiodactyla,Physeteridae,Physeter macrocephalus,Sperm Whale,VU,41.85442196,5.144103197,None,Global,Global,Marine and Freshwater,http://www.iucnredlist.org/apps/redlist/details/41755/0
91,Pholidota,Manidae,Manis pentadactyla,Chinese Pangolin,EN,20.35572093,5.140761205,Limited,Asia,"Bangladesh; Bhutan; China; Hong Kong; India; Lao People's Democratic Republic; Myanmar; Nepal; Taiwan, Province of China; Thailand; Viet Nam",,http://www.iucnredlist.org/details/12764/0
92,Pholidota,Manidae,Manis javanica,"Sunda Pangolin, Malayan Pangolin",EN,20.30695965,5.138475305,Limited,Asia,Brunei Darussalam; Cambodia; Indonesia; Lao People's Democratic Republic; Malaysia; Myanmar; Singapore; Thailand; Viet Nam,,http://www.iucnredlist.org/details/12763/0
93,Primates,Atelidae,Brachyteles hypoxanthus,Northern Muriqui,CR,9.65114119,5.138255763,Limited,Americas,"Brazil (Bahia, Espírito Santo, Minas Gerais)",,http://www.iucnredlist.org/apps/redlist/details/2994/0
94,Sirenia,Trichechidae,Trichechus manatus,"American Manatee, West Indian Manatee",VU,41.57146606,5.137478579,Active,Americas,"Bahamas; Belize; Brazil; Cayman Islands; Colombia; Costa Rica; Cuba; Dominican Republic; French Guiana; Guatemala; Guyana; Honduras; Jamaica; Mexico; Netherlands Antilles (Bonaire, CuraÃ§ao, Netherlands Leeward Is. - Regionally Extinct); Nicaragua; Panama; Puerto Rico; Suriname; Trinidad and Tobago; United States; Venezuela; Virgin Islands, British; Virgin Islands, U.S.
",Marine and Freshwater,http://www.iucnredlist.org/apps/redlist/details/22103/0
95,Sirenia,Trichechidae,Trichechus senegalensis,"African Manatee, Seacow, West African Manatee",VU,41.57146606,5.137478579,Active,Americas,"Angola; Benin; Cameroon; Chad; Congo; Congo, The Democratic Republic of the; CÃ´te d'Ivoire; Equatorial Guinea; Gabon; Gambia; Ghana; Guinea; Guinea-Bissau; Liberia; Mali; Mauritania; Niger; Nigeria; Senegal; Sierra Leone; Togo",Marine and Freshwater,http://www.iucnredlist.org/apps/redlist/details/22104/0
96,Diprotodontia,Potoroidae,Potorous longipes,Long-footed Potoroo,EN,20.22170929,5.134466223,Active,Australasia,"Australia (New South Wales, Victoria)",,http://www.iucnredlist.org/apps/redlist/details/18102/0
